time[s],q_0[mm],q_2[mm]
15.2800000000,-5.9536930000,0.0000000000
15.2900000000,-5.9503360000,0.0000000000
15.3000000000,-5.9468620000,0.0000000000
15.3100000000,-5.9432720000,0.0000000000
15.3200000000,-5.9395650000,0.0000000000
15.3300000000,-5.9357430000,0.0000000000
15.3400000000,-5.9318040000,0.0000000000
15.3500000000,-5.9277500000,0.0000000000
15.3600000000,-5.9235810000,0.0000000000
15.3700000000,-5.9192960000,0.0000000000
15.3800000000,-5.9148950000,0.0000000000
15.3900000000,-5.9103800000,0.0000000000
15.4000000000,-5.9057490000,0.0000000000
15.4100000000,-5.9010040000,0.0000000000
15.4200000000,-5.8961450000,0.0000000000
15.4300000000,-5.8911710000,0.0000000000
15.4400000000,-5.8860830000,0.0000000000
15.4500000000,-5.8808810000,0.0000000000
15.4600000000,-5.8755650000,0.0000000000
15.4700000000,-5.8701360000,0.0000000000
15.4800000000,-5.8645940000,0.0000000000
15.4900000000,-5.8589380000,0.0000000000
15.5000000000,-5.8531700000,0.0000000000
15.5100000000,-5.8472880000,0.0000000000
15.5200000000,-5.8412950000,0.0000000000
15.5300000000,-5.8351890000,0.0000000000
15.5400000000,-5.8289720000,0.0000000000
15.5500000000,-5.8226420000,0.0000000000
15.5600000000,-5.8162020000,0.0000000000
15.5700000000,-5.8096500000,0.0000000000
15.5800000000,-5.8029870000,0.0000000000
15.5900000000,-5.7962130000,0.0000000000
15.6000000000,-5.7893290000,0.0000000000
15.6100000000,-5.7823350000,0.0000000000
15.6200000000,-5.7752320000,0.0000000000
15.6300000000,-5.7680180000,0.0000000000
15.6400000000,-5.7606960000,0.0000000000
15.6500000000,-5.7532640000,0.0000000000
15.6600000000,-5.7457240000,0.0000000000
15.6700000000,-5.7380750000,0.0000000000
15.6800000000,-5.7303180000,0.0000000000
15.6900000000,-5.7224530000,0.0000000000
15.7000000000,-5.7144810000,0.0000000000
15.7100000000,-5.7064020000,0.0000000000
15.7200000000,-5.6982160000,0.0000000000
15.7300000000,-5.6899230000,0.0000000000
15.7400000000,-5.6815240000,0.0000000000
15.7500000000,-5.6730200000,0.0000000000
15.7600000000,-5.6644090000,0.0000000000
15.7700000000,-5.6556940000,0.0000000000
